id,year,authors,title,doi,keywords,material,melting,lh,country,weather,software,method,scale,model,density,comment,solidification,url
\cite{Sun2022},2022,"Sun, Wanchun and Zhang, Zhengguo and Wu, Zhijiang and Xu, Yansheng",{Numerical modeling and optimization of annual thermal characteristics of an office room with PCM active–passive coupling system},10.1016/J.ENBUILD.2021.111629,"Building energy simulations,Coupling system,EnergyPlus,Phase change material,Radiant floor"," DHPD-SSP/EG, TM20/EG, TM24/EP, TM24/EG"," 31.3°C DHPD-SSP/EG, 20.2°C, TM20/EG, 23°C TM24/EP, 23.5°C TM24/EG"," 169.4 kJ/kg DHPD-SSP/EG, 109.7 kJ/kg TM20/EG, 109.7 kJ/kg TM24/EP, 173.2 kJ/kg, TM24/EG", Guangzhou China, subtropical-humid, EnergyPlus, FD, room, CondFD,,,,
\cite{Adilkhanova2021},2021,"Adilkhanova, Indira and Memon, Shazim Ali and Kim, Jong and Sheriyev, Almas",{A novel approach to investigate the thermal comfort of the lightweight relocatable building integrated with PCM in different climates of Kazakhstan during summertime},10.1016/J.ENERGY.2020.119390,"Discomfort Index,Lightweight relocatable building,PCM storage efficiency,Phase change material,Total Discomfort Change",,,," Nur-Sultan Kazakhstan, Karaganda Kazakhstan, Kokshetau Kazakhstan, Almaty Kazakhstan, Aktobe Kazakhstan, Atyrau Kazakhstan"," Dfb Nur-Sultan, Dfb Karaganda, Bsk Kokshetau, Dfa Almaty, Dfa Aktobe, Bwk Atyrau", EnergyPlus, FD,, CondFD,,,,
\cite{Mahdaoui2021},2021,"Mahdaoui, Mustapha and Hamdaoui, Said and {Ait Msaad}, Abdelouahad and Kousksou, Tarik and {El Rhafiki}, Tarik and Jamil, Abdelmajid and Ahachad, Mohammed",{Building bricks with phase change material (PCM): Thermal performances},10.1016/J.CONBUILDMAT.2020.121315,"Brick,Building,Comfort,Decrement,PCM,Thermal inertia,Time lag",,,, Morocco, hot-desert, Ansys fluent, FD,, enthalpy,,,,
\cite{Arc2020},2020,"Arıcı, M{\""{u}}sl{\""{u}}m and Bilgin, Feyza and Ni{\v{z}}eti{\'{c}}, Sandro and Karabay, Hasan",{PCM integrated to external building walls: An optimization study on maximum activation of latent heat},10.1016/J.APPLTHERMALENG.2019.114560,"Buildings,Decrement factor,Energy savings,Latent heat,PCM,Time lag",,,,,, Fortran,FD,,,,,,
\cite{Gao2020},2020,"Gao, Yanna and He, Fan and Meng, Xi and Wang, Ziyun and Zhang, Ming and Yu, Hanting and Gao, Weijun",{Thermal behavior analysis of hollow bricks filled with phase-change material (PCM)},10.1016/J.JOBE.2020.101447,"Attenuation rate,Delay time,Inner surface heat flux,Phase-change extent,Phase-change material",,,,,, SIMPLEC algorithm, FV,, enthalpy,,,,
\cite{Kenzhekhanov2020},2020,"Kenzhekhanov, Sultan and Memon, Shazim Ali and Adilkhanova, Indira",{Quantitative evaluation of thermal performance and energy saving potential of the building integrated with PCM in a subarctic climate},10.1016/J.ENERGY.2019.116607,"Discomfort hour,Energy saving potential,Maximum temperature reduction,Phase change materials,Thermal performance",,,," Anchorage USA, Fort-McMurray Canada, Val-d'Or Canada, Umea Sweden, Oulu Finland, Arkhangelsk Russia, Surgut Russia, Bratsk Russia", subarctic, EnergyPlus, FD,, CondFD,,,,
\cite{Yun2020},2020,"Yun, Beom Yeol and Park, Ji Hun and Yang, Sungwoong and Wi, Seunghwan and Kim, Sumin",{Integrated analysis of the energy and economic efficiency of PCM as an indoor decoration element: Application to an apartment building},10.1016/J.SOLENER.2019.12.006,"Building energy simulations,Energy cost analysis,Energy saving,Korean climate zones,Phase change materials"," n-Hexadecane, n-Heptadecane, n-Octadecane"," 18°C n-Hexadecane, 22°C n-Heptadecane, 28°C n-Octadecane"," 231J/g n-Hexadecane, 200J/g n-Heptadecane, 241J/g n-Octadecane"," Chuncheon Korea, Seoul Korea, Busan Korea, Jeju Korea"," subartic Chuncheon, continental Seoul, humid-subtropical Busan, mediterranean Jeju", EnergyPlus, FD, building, CondFD,,,,
\cite{Markarian2019},2019,"Markarian, Elin and Fazelpour, Farivar",{Multi-objective optimization of energy performance of a building considering different configurations and types of PCM},10.1016/J.SOLENER.2019.09.003,"Economic assessment,Energy performance,Genetic algorithm,HAVC,PCM",,,," Tehran Iran, Tabriz Iran, Bandar-Abas Ira, Shiraz Iran, Yazd Iran"," hot-summer-mediterranean Tehran, cold-semi-arid Tabriz, hot semi-arid Bandar-Abas, mediterranean Shiraz, hot-desert Yazd", EnergyPlus, FD, building, CondFD,,,,
\cite{ElOuali2019},2019,"{El Ouali}, A. and {El Rhafiki}, T. and Kousksou, T. and Allouhi, A. and Mahdaoui, M. and Jamil, A. and Zeraouli, Y.",{Heat transfer within mortar containing micro-encapsulated PCM: Numerical approach},10.1016/J.CONBUILDMAT.2019.03.177,"Building,DSC,Heat transfer,Hysteresis phenomenon,Microencapsulated PCM",,,,,, algorithm TDMA, FV,, enthapy,,,,
\cite{Ahangari2019},2019,"Ahangari, Mohamad and Maerefat, Mehdi",{An innovative PCM system for thermal comfort improvement and energy demand reduction in building under different climate conditions},10.1016/J.SCS.2018.09.008,"Different climates,Double-layer PCM system,Energy consumption,Summer and winter,Thermal comfort"," PCM first layer, PCM second layer"," 21°C, 22°C, 23°C"," 60kJ/kg first-layer, 63kJ/kg second-layer"," Tehran Iran, Yazd Iran, Tabriz Iran, Bandaras Iran, Rasht Iran",, EnergyPlus, FD,, CondFD," 850kg/m3 first-layer, 750kg/m3 second-layer"," 1st layer for summer and hot temperatures , 2nd layer for winter and cold temperature",,
